StoreName,GroceryChain,Cycle,ZoneName,Address,City,State,Country,PostalCode,Case Count,SingleAd,DoubleAd
SAF07Z-3424,Safeway,B,07Z,2411 N PROCTOR ST,Tacoma,WA,US,98406,15,3425.00,4795.00
SAF07Z-3305,Safeway,A,07Z,15805 Pacific Ave S,Tacoma,WA,US,98444,15,3425.00,4795.00
SAF07Z-0486,Safeway,C,07Z,3842 Bridgeport Way West,Tacoma,WA,US,98466,17,3675.00,5145.00
FME07Z-0605,Fred Meyer,C,07Z,6901 S 19th St,Tacoma,WA,US,98466-5529,18,3800.00,5320.00
FME07Z-0390,Fred Meyer,A,07Z,4505 S 19th St,Tacoma,WA,US,98405-1183,23,4400.00,6160.00
SAF07Z-1436,Safeway,B,07Z,1624 72nd St E,Tacoma,WA,US,98404,24,4500.00,6300.00
SAF07X-1978,Safeway,B,07X,2637 North Pearl Street,Tacoma,WA,US,98407,34,5400.00,7560.00
SAF07Z-1489,Safeway,A,07Z,520 Mount Hood Street,The Dalles,OR,US,97058,23,4400.00,6160.00
FME07Z-0372,Fred Meyer,A,07Z,1215 W 6Th St,The Dalles,OR,US,97058-3585,33,5325.00,7455.00
SAF07Y-3542,Safeway,A,07Y,14300 SW Barrows Rd,Tigard,OR,US,97223,10,2700.00,3780.00
FME07Y-0375,Fred Meyer,A,07Y,11565 SW Pacific Hwy,Tigard,OR,US,97223,34,5400.00,7560.00
SAF07Y-2723,Safeway,C,07Y,1815 4Th Street,Tillamook,OR,US,97141,16,3550.00,4970.00
FME07Y-0377,Fred Meyer,C,07Y,2500 North Main Street,Tillamook,OR,US,97141,22,4300.00,6020.00
SAF07Z-0536,Safeway,C,07Z,25691 SE Stark St,Troutdale,OR,US,97060,18,3800.00,5320.00
FME07Y-0393,Fred Meyer,C,07Y,19200 SW Martinazzi AVE,Tualatin,OR,US,97062-6357,36,5550.00,7770.00
SAR07X-0624,Saars,B,07X,3725 S. 144th,Tukwila,WA,US,98168,10,2700.00,3780.00
SAF07Z-1407,Safeway,B,07Z,705 Trosper Rd SW,Tumwater,WA,US,98512,17,3675.00,5145.00
SAF07Z-1503,Safeway,C,07Z,500 Cleveland Avenue Southeast,Tumwater,WA,US,98501,18,3800.00,5320.00
FME07Z-0659,Fred Meyer,B,07Z,555 Trosper Road Southwest,Tumwater,WA,US,98512,36,5550.00,7770.00
STB05X-0105,Stater Bros.,A,05X,71727 29 Palms Highway,Twentynine Palms,CA,US,92277,15,3425.00,4795.00
FME07Z-0615,Fred Meyer,C,07Z,6305 Bridgeport Way West,University Place,WA,US,98467,28,4900.00,6860.00
STB05X-0045,Stater Bros.,A,05X,919 N. Mountain Avenue,Upland,CA,US,91786,13,3150.00,4410.00
