store_id,chain,address,city,state,zip,full_address,tape_cases
SAF07Y-0415,Safeway,4101 NW Logan Road,Lincoln City,OR,97367,"4101 NW Logan Road, Lincoln City, OR 97367",32
SAF07Y-0420,Safeway,1500 Coburg Rd,Eugene,OR,97401,"1500 Coburg Rd, Eugene, OR 97401",23
SAF07Y-0429,Safeway,3380 Lancaster Drive Northeast,Salem,OR,97305,"3380 Lancaster Drive Northeast, Salem, OR 97305",17
SAF07Y-0508,Safeway,401 A Avenue,Lake Oswego,OR,97034,"401 A Avenue, Lake Oswego, OR 97034",11
SAF07Y-3136,Safeway,8145 Southwest Barbur Boulevard,Portland,OR,97219,"8145 Southwest Barbur Boulevard, Portland, OR 97219",13
SAF07Y-0525,Safeway,1003 Medford Center,Medford,OR,97504,"1003 Medford Center, Medford, OR 97504",17
SAF07Y-1047,Safeway,17779 Boones Ferry Road,Lake Oswego,OR,97035,"17779 Boones Ferry Road, Lake Oswego, OR 97035",17
SAF07Y-1073,Safeway,6194 SW Murray Blvd,Beaverton,OR,97008,"6194 SW Murray Blvd, Beaverton, OR 97008",22
SAF07Y-1094,Safeway,1891 Pioneer Parkway East,Springfield,OR,97477,"1891 Pioneer Parkway East, Springfield, OR 97477",16
SAF07Y-1203,Safeway,2525 SE Tualatin Valley Hwy,Hillsboro,OR,97123,"2525 SE Tualatin Valley Hwy, Hillsboro, OR 97123",14
SAF07Y-1230,Safeway,2177 NW 185th Avenue,Hillsboro,OR,97124,"2177 NW 185th Avenue, Hillsboro, OR 97124",29
SAF07Y-1458,Safeway,1500 E Main St,Cottage Grove,OR,97424,"1500 E Main St, Cottage Grove, OR 97424",17
SAF07Y-1478,Safeway,15570 SW Pacific Hwy,King City,OR,97224,"15570 SW Pacific Hwy, King City, OR 97224",24
SAF07Y-1516,Safeway,4990 River Rd N,Keizer,OR,97303,"4990 River Rd N, Keizer, OR 97303",23
SAF07Y-1525,Safeway,13485 Northwest Cornell Road,Portland,OR,97225,"13485 Northwest Cornell Road, Portland, OR 97225",22
SAF07Y-1527,Safeway,1535 North 1St Street,Stayton,OR,97383,"1535 North 1St Street, Stayton, OR 97383",20
SAF07Y-1556,Safeway,230 E Johnson Ave,Coos Bay,OR,97420,"230 E Johnson Ave, Coos Bay, OR 97420",16
SAF07Y-1557,Safeway,1735 Virginia Ave,North Bend,OR,97459,"1735 Virginia Ave, North Bend, OR 97459",24
SAF07Y-1558,Safeway,1983 South Main Street,Lebanon,OR,97355,"1983 South Main Street, Lebanon, OR 97355",16
SAF07Y-1580,Safeway,301 Westfield Street,Silverton,OR,97381,"301 Westfield Street, Silverton, OR 97381",20
SAF07Y-1601,Safeway,2490 NE HIGHWAY 99W,McMinnville,OR,97128,"2490 NE HIGHWAY 99W, McMinnville, OR 97128",21
SAF07Y-1629,Safeway,1265 Center Street Northeast,Salem,OR,97301,"1265 Center Street Northeast, Salem, OR 97301",21
SAF07Y-1643,Safeway,3169 Crater Lake Highway,Medford,OR,97501,"3169 Crater Lake Highway, Medford, OR 97501",16
SAF07Y-1659,Safeway,1990 14th Ave SE,Albany,OR,97322,"1990 14th Ave SE, Albany, OR 97322",20
SAF07Y-1666,Safeway,1539 NE Stephens St.,Roseburg,OR,97470,"1539 NE Stephens St., Roseburg, OR 97470",20
SAF07Y-1690,Safeway,590 NE Circle Boulevard,Corvallis,OR,97330,"590 NE Circle Boulevard, Corvallis, OR 97330",11
SAF07Y-1710,Safeway,1540 Main Street,Sweet Home,OR,97386,"1540 Main Street, Sweet Home, OR 97386",17
SAF07Y-1713,Safeway,22000 Salamo Road,West Linn,OR,97068,"22000 Salamo Road, West Linn, OR 97068",22
SAF07Y-1751,Safeway,1525 West Main Street,Molalla,OR,97038,"1525 West Main Street, Molalla, OR 97038",25
SAF07Y-1765,Safeway,5270 SW PHILOMATH BLVD,Corvallis,OR,97333,"5270 SW PHILOMATH BLVD, Corvallis, OR 97333",25
SAF07Y-1800,Safeway,20685 SW Roy Rogers Road,Sherwood,OR,97140,"20685 SW Roy Rogers Road, Sherwood, OR 97140",16
SAF07Y-1827,Safeway,2111 Adams Avenue,La Grande,OR,97850,"2111 Adams Avenue, La Grande, OR 97850",17
SAF07Y-1889,Safeway,20535 SW TV Highway,Aloha,OR,97006,"20535 SW TV Highway, Aloha, OR 97006",9
SAF07Y-1935,Safeway,5660 Commercial St SE,Salem,OR,97306,"5660 Commercial St SE, Salem, OR 97306",24
SAF07Y-1976,Safeway,1550 North Pacific Highway,Woodburn,OR,97071,"1550 North Pacific Highway, Woodburn, OR 97071",21
SAF07Y-2448,Safeway,1010 SW Jefferson St,Portland,OR,97201,"1010 SW Jefferson St, Portland, OR 97201",16
SAF07Y-2604,Safeway,1051 SW 1st Avenue,Canby,OR,97013,"1051 SW 1st Avenue, Canby, OR 97013",10
SAF07Y-2623,Safeway,1140 North Springbrook Road,Newberg,OR,97132,"1140 North Springbrook Road, Newberg, OR 97132",12
SAF07Y-2631,Safeway,14555 SW Teal Blvd,Beaverton,OR,97007,"14555 SW Teal Blvd, Beaverton, OR 97007",26
SAF07Y-2696,Safeway,14840 SE Webster Rd,Milwaukie,OR,97267,"14840 SE Webster Rd, Milwaukie, OR 97267",18
SAF07Y-2723,Safeway,1815 4Th Street,Tillamook,OR,97141,"1815 4Th Street, Tillamook, OR 97141",16
SAF07Y-2790,Safeway,1303 Northwest Lovejoy Street,Portland,OR,97209,"1303 Northwest Lovejoy Street, Portland, OR 97209",17
SAF07Y-4262,Safeway,155 East First Street,Coquille,OR,97423,"155 East First Street, Coquille, OR 97423",7
