store_id,chain,address,city,state,zip,full_address,tape_cases
SAF07Z-1447,Safeway,6901 NE Sandy Blvd,Portland,OR,97213,"6901 NE Sandy Blvd, Portland, OR 97213",28
SAF07Z-1489,Safeway,520 Mount Hood Street,The Dalles,OR,97058,"520 Mount Hood Street, The Dalles, OR 97058",23
SAF07Z-1504,Safeway,2650 NE Hwy 20,Bend,OR,97701,"2650 NE Hwy 20, Bend, OR 97701",30
SAF07Z-1523,Safeway,4515 SE Woodstock Blvd,Portland,OR,97206,"4515 SE Woodstock Blvd, Portland, OR 97206",26
SAF07Z-1611,Safeway,6711 NE 63rd St,Vancouver,WA,98661,"6711 NE 63rd St, Vancouver, WA 98661",19
SAF07Z-1612,Safeway,1100 NE Broadway St,Portland,OR,97232,"1100 NE Broadway St, Portland, OR 97232",17
SAF07Z-1627,Safeway,3930 Southeast Powell Boulevard,Portland,OR,97202,"3930 Southeast Powell Boulevard, Portland, OR 97202",18
SAF07Z-1653,Safeway,2615 NE 112th Ave,Vancouver,WA,98684,"2615 NE 112th Ave, Vancouver, WA 98684",30
SAF07Z-1665,Safeway,1705 U.S. 97,Redmond,OR,97756,"1705 U.S. 97, Redmond, OR 97756",25
SAF07Z-1687,Safeway,3307 SE Evergreen Way Ste 5,Washougal,WA,98671,"3307 SE Evergreen Way Ste 5, Washougal, WA 98671",16
SAF07Z-1704,Safeway,6700 NE 162nd Ave Ste 500,Vancouver,WA,98682,"6700 NE 162nd Ave Ste 500, Vancouver, WA 98682",24
SAF07Z-1762,Safeway,1725 Pacific Ave,Woodland,WA,98674,"1725 Pacific Ave, Woodland, WA 98674",27
SAF07Z-1842,Safeway,13023 NE Hwy 99,Vancouver,WA,98686,"13023 NE Hwy 99, Vancouver, WA 98686",13
SAF07Z-1888,Safeway,320 SW Century Dr,Bend,OR,97702,"320 SW Century Dr, Bend, OR 97702",27
SAF07Z-1951,Safeway,8330 North Ivanhoe Street,Portland,OR,97203,"8330 North Ivanhoe Street, Portland, OR 97203",20
SAF07Z-1960,Safeway,80 NE Cedar,Madras,OR,97741,"80 NE Cedar, Madras, OR 97741",18
SAF07Z-2627,Safeway,3250 Leif Erikson Dr,Astoria,OR,97103,"3250 Leif Erikson Dr, Astoria, OR 97103",9
SAF07Z-2637,Safeway,411 Three River Drive,Kelso,WA,98626,"411 Three River Drive, Kelso, WA 98626",12
SAF07Z-2690,Safeway,4320 SE King Rd,Milwaukie,OR,97222,"4320 SE King Rd, Milwaukie, OR 97222",17
SAF07Z-4313,Safeway,904 W Main St,Battle Ground,WA,98604,"904 W Main St, Battle Ground, WA 98604",14
SAF07Z-4405,Safeway,408 NE 81st St,Vancouver,WA,98665,"408 NE 81st St, Vancouver, WA 98665",25
FME07Z-0208,Fred Meyer,11325 Southeast Mill Plain Blvd,Vancouver,WA,98684,"11325 Southeast Mill Plain Blvd, Vancouver, WA 98684",28
SAF07Z-1407,Safeway,705 Trosper Rd SW,Tumwater,WA,98512,"705 Trosper Rd SW, Tumwater, WA 98512",17
SAF07Z-3411,Safeway,8611 Steilacoom Blvd SW,Lakewood,WA,98498,"8611 Steilacoom Blvd SW, Lakewood, WA 98498",25
ALB07Z-0564,Albertsons,451 NE 181st Ave,Portland,OR,97230,"451 NE 181st Ave, Portland, OR 97230",12
ALB07Z-0575,Albertsons,5850 NE Prescott St,Portland,OR,97218,"5850 NE Prescott St, Portland, OR 97218",14
ALB07Z-0580,Albertsons,14300 NE 20th Ave,Vancouver,WA,98686,"14300 NE 20th Ave, Vancouver, WA 98686",13
ALB07Z-2599,Albertsons,1800 N.E. 3rd street,Bend,OR,97701,"1800 N.E. 3rd street, Bend, OR 97701",15
ALB07Z-3553,Albertsons,61155 S Hwy 97,Bend,OR,97702,"61155 S Hwy 97, Bend, OR 97702",17
ALB07Z-2592,Albertsons,2108 W Main Street,Battle Ground,WA,98604,"2108 W Main Street, Battle Ground, WA 98604",12
SAF07Z-3305,Safeway,15805 Pacific Ave S,Tacoma,WA,98444,"15805 Pacific Ave S, Tacoma, WA 98444",15
FME07Z-0694,Fred Meyer,17005 SE Sunnyside Rd,Happy Valley,OR,97015,"17005 SE Sunnyside Rd, Happy Valley, OR 97015",33
ALB07Z-3417,Albertsons,3520 Pacific Ave S E,Olympia,WA,98501,"3520 Pacific Ave S E, Olympia, WA 98501",18
ALB07Z-3106,Albertsons,11012 Canyon Rd E,Puyallup,WA,98373,"11012 Canyon Rd E, Puyallup, WA 98373",14
ROS07Z-0042,Rosauers,101 S. 47th Avenue,Ridgefield,WA,98642,"101 S. 47th Avenue, Ridgefield, WA 98642",15
SAF07Z-2729,Safeway,708 Shaw Rd E,Puyallup,WA,98372,"708 Shaw Rd E, Puyallup, WA 98372",18
